@relation usef

@attribute author {Stoker, Hawthorne, Twain, Doyle, Dickens, Austen, Shelley, Melville}
@attribute ufreq_colloquialism_n_01 numeric
@attribute ufreq_intensifier_n_01 numeric
@attribute ufreq_slang_n_02 numeric
@attribute ufreq_plural_n_01 numeric
@attribute ufreq_archaism_n_01 numeric
@attribute ufreq_combining_form_n_01 numeric
@attribute ufreq_comparative_n_01 numeric
@attribute ufreq_disparagement_n_01 numeric
@attribute ufreq_ethnic_slur_n_01 numeric
@attribute ufreq_irony_n_03 numeric


@data
Austen,0.18181818181818182,0.16666666666666666,0,0.18181818181818182,0.2727272727272727,0.045454545454545456,0,0,0,0
Austen,0.38461538461538464,0.21794871794871792,0.07692307692307693,0.15384615384615385,0,0.038461538461538464,0.07692307692307693,0,0,0
Austen,0.375,0.3958333333333333,0,0,0,0.1875,0.020833333333333332,0,0,0
Austen,0.5625,0.14583333333333334,0.125,0.125,0,0,0,0,0,0
Austen,0.5333333333333333,0.1,0.13333333333333333,0.13333333333333333,0,0.03333333333333333,0.06666666666666667,0,0,0
Austen,0.4230769230769231,0.2692307692307692,0.07692307692307693,0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0,0,0
Austen,0.6923076923076923,0.15384615384615385,0,0,0,0.038461538461538464,0,0,0,0
Austen,0.6666666666666666,0.06944444444444443,0,0.16666666666666666,0,0.041666666666666664,0,0,0,0
Austen,0.45454545454545453,0.18181818181818182,0,0.09090909090909091,0,0.09090909090909091,0.09090909090909091,0,0,0
Austen,0.6666666666666666,0.16666666666666666,0.08333333333333333,0,0,0.027777777777777776,0.05555555555555555,0,0,0
Austen,0.45454545454545453,0.37878787878787873,0.045454545454545456,0.045454545454545456,0,0,0,0,0,0.045454545454545456
Austen,0.36363636363636365,0.3181818181818182,0,0.09090909090909091,0,0.045454545454545456,0.18181818181818182,0,0,0
Stoker,0.492063492063492,0.20634920634920637,0.09523809523809523,0.06349206349206349,0,0.09523809523809523,0,0,0,0
Stoker,0.6567164179104478,0.1044776119402985,0.06716417910447761,0.04477611940298507,0.05970149253731343,0.022388059701492536,0.014925373134328358,0,0,0.014925373134328358
Stoker,0.49038461538461536,0.23076923076923078,0.08653846153846154,0.038461538461538464,0.038461538461538464,0.057692307692307696,0.019230769230769232,0,0,0
Stoker,0.45689655172413796,0.11206896551724138,0.09482758620689655,0.15517241379310345,0.05172413793103448,0.0603448275862069,0.017241379310344827,0,0,0.017241379310344827
Stoker,0.43434343434343436,0.3434343434343434,0.06060606060606061,0.0404040404040404,0.030303030303030304,0.06060606060606061,0,0,0,0
Stoker,0.536231884057971,0.15942028985507245,0,0.05797101449275362,0.13043478260869565,0,0,0,0,0.08695652173913043
Stoker,0.53125,0.20833333333333334,0.09375,0.0625,0.0625,0,0,0,0,0
Stoker,0.5833333333333334,0,0.08333333333333333,0.16666666666666666,0,0,0.16666666666666666,0,0,0
Stoker,0.5277777777777778,0.12962962962962962,0.08333333333333333,0.05555555555555555,0,0.05555555555555555,0.05555555555555555,0,0,0
Stoker,0.6511627906976744,0.08604651162790697,0.05813953488372092,0,0.04651162790697674,0.016279069767441857,0.10697674418604651,0,0,0
Stoker,0.41666666666666663,0.15350877192982457,0.05263157894736842,0.08771929824561403,0,0.11842105263157894,0.05263157894736842,0,0,0.02631578947368421
Stoker,0.6666666666666666,0.25,0,0,0.08333333333333333,0,0,0,0,0
Stoker,0.375,0.041666666666666664,0.375,0.08333333333333333,0,0.041666666666666664,0,0,0,0
Stoker,0.4642857142857143,0.17857142857142858,0.03571428571428571,0.14285714285714285,0,0.03571428571428571,0.07142857142857142,0,0,0.07142857142857142
Stoker,0.4642857142857143,0.22142857142857145,0.05357142857142857,0,0.21428571428571427,0.024999999999999998,0.021428571428571432,0,0,0
